,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,state
totalCases_per_100k_inhabitants,,,,,,,,,,,,,0.00472,0.00472,0.00472,0.00472,0.00945,0.00945,0.0189,0.0189,0.028339999999999997,0.06614,0.08975,0.13699,0.17951,0.25982,0.39209,0.6046600000000001,0.61411,0.6282800000000001,0.7227600000000001,0.8928200000000001,0.96841,1.09123,1.23295,1.29908,1.48332,1.7478599999999997,1.8754,2.0312900000000003,2.35252,2.48007,2.64068,2.9005,3.0941799999999997,3.29731,3.54295,3.80749,3.8500099999999997,4.17596,4.2657099999999994,4.525530000000001,4.82314,5.087680000000001,5.45142,5.61676,5.81044,6.06081,6.17891,6.70326,6.99615,7.31265,7.49216,7.78977,8.304680000000001,8.63063,9.14081,9.556519999999999,10.0053,11.08708,11.583089999999999,12.30585,13.0853,13.90254,14.75285,15.291379999999998,15.683470000000002,16.22672,17.63445,18.65954,19.82163,21.13489,21.78207,22.17888,23.511029999999998,24.97072,26.435140000000004,28.31999,29.9403,31.4992,32.888040000000004,35.5051,37.84345,41.0321,43.61137,45.4915,49.431259999999995,50.40439,51.675129999999996,56.73446,61.571769999999994,66.11148,70.57087,74.17996,75.03027,76.06481,82.67359,87.14716,94.97944,97.3792,101.00246,102.64166999999999,104.03995,110.28971999999999,117.65433,123.06796000000001,128.98705,130.5743,136.60676,141.23148999999998,148.06231,154.79863999999998,183.71857,193.52074,201.90572,207.2107,212.58181000000002,224.78374,239.53659,252.02667000000002,264.34197,275.32512,281.66937,287.67349,MG
totalCases_per_100k_inhabitants,,,,,,,,,,,,,,,,,,,0.07197,0.07197,0.14394,0.21591,0.25189,0.32386,0.43181,0.57575,0.75567,0.75567,0.86362,0.86362,0.89961,1.00756,1.11551,1.29544,1.58331,1.72725,1.8352,1.90717,2.1590599999999998,2.23103,2.33898,2.3749700000000002,2.87875,3.05867,3.20261,3.4904800000000002,3.5984300000000005,3.6344199999999995,4.06623,4.1382,4.3541099999999995,4.71395,5.14576,5.793480000000001,6.04537,6.15332,6.22529,6.29726,6.69309,7.66467,7.8086,8.42034,8.56427,8.636239999999999,8.9601,9.17601,9.391910000000001,9.57184,9.78774,9.85971,10.18357,10.363489999999999,11.191130000000001,11.7309,12.45058,13.02633,13.85397,14.57366,15.473270000000001,16.26493,17.2365,18.28005,20.51108,22.058410000000002,23.10195,24.93715,26.84432,28.9674,30.874570000000002,36.81199,39.58278,42.677440000000004,45.41225,48.794779999999996,51.02581,53.580690000000004,56.42346,59.23024,64.8438,69.26987,71.86074,76.71863,81.07274,83.62763000000001,88.34156999999999,93.45135,102.66335,107.98903,116.40937,123.53426999999999,127.78041999999999,136.20076,149.83883,153.7971,167.90296999999998,179.5619,188.45003,193.99161999999998,208.13347,223.13894,234.7259,248.7598,262.93762999999996,270.85419,276.21586,286.61533,312.20021,326.09016,337.82106,356.60489,363.04609,368.94752,384.56473,384.56473,MS
totalCases,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,6,7,9,11,11,13,16,18,25,28,41,44,60,60,76,78,90,108,112,121,123,134,138,151,156,162,171,174,181,181,205,221,241,247,250,257,263,292,302,320,333,337,344,366,385,419,464,502,519,545,604,673,734,792,857,901,941,1005,1090,1187,1271,1363,1464,1594,1744,1909,2085,2262,2413,2485,2636,2817,3029,3388,3593,3788,4033,4243,4504,4762,5092,5390,5739,6108,6390,6877,7361,8166,8725,9262,9776,10270,11017,11571,12601,13406,14128,14687,15328,16304,17401,18356,19540,20333,21081,22078,23506,MT
totalCases,,,,,,,,,,,,,,,,,,,,,,,1,1,2,2,4,5,5,7,13,16,18,20,26,34,41,49,75,82,86,123,154,167,169,217,237,259,310,384,487,557,627,641,685,902,1026,1195,1267,1579,1745,2070,2219,2319,2586,2999,3359,3727,3920,4262,4756,5524,5935,6519,7018,7348,8069,9059,10344,11479,12638,13464,14201,15467,17177,18929,20532,22697,24125,24815,27366,29882,31671,35132,37296,37859,37961,40014,43652,46473,49473,53860,53860,54271,57570,60636,63405,65151,66328,68510,69224,71243,74192,76623,80072,82881,84654,86020,88636,91708,94036,96472,99313,100443,101207,103206,105853,108067,110411,112531,113811,114535,116152,118744,PA
totalCases,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,2,3,5,6,10,14,14,17,18,21,29,32,34,35,36,41,55,79,85,101,111,136,152,165,195,205,236,245,263,301,345,386,447,499,543,633,698,814,926,1034,1169,1219,1361,1493,1657,1849,2031,2156,2341,2525,2777,3045,3361,3739,4063,4347,4786,5300,5838,6238,6882,7508,7823,8016,8919,10209,11132,12011,12862,13162,13695,14859,16018,17579,18579,19787,20310,20951,22452,24032,25370,26556,27454,28013,28668,30128,31712,33382,35098,36526,36789,37258,39004,39917,40829,42837,44247,44684,45062,46962,48180,49541,50770,52311,52733,53151,54802,PB
totalCases,,,,,,,,,,,,,,,,,2,2,7,8,8,18,19,28,31,33,37,42,42,46,48,57,68,73,78,87,95,106,136,176,201,223,352,401,555,684,816,960,1154,1284,1484,1683,2006,2193,2459,2690,2908,3298,3605,3999,4507,4898,5358,5724,6194,6876,7334,8145,8643,8863,9325,9881,10824,11587,12470,13275,13768,14309,14901,15588,16209,18488,19452,20094,21242,22560,23911,25760,26786,27759,28366,28854,29919,30713,32255,33427,34450,34900,35508,36463,37507,38511,39361,40242,40705,41010,41935,42994,43872,44671,45261,45507,46427,47446,48626,49720,51118,52113,52494,52831,54022,55136,55804,57089,58107,58476,58858,59705,61119,62362,63457,65129,65642,66151,PE
totalCases,,,,,,,,,,,,,,,,,,,,,,,,3,4,4,6,6,8,9,9,10,11,14,18,18,19,19,22,24,24,26,31,38,40,41,44,51,58,75,91,102,123,144,158,186,206,217,256,297,331,364,408,454,513,600,665,742,784,875,949,1051,1131,1233,1278,1332,1443,1612,1784,1905,2085,2252,2287,2440,2637,2852,3074,3258,3390,3550,3720,3966,4243,4503,4745,4931,5119,5506,5828,6064,6717,7105,7478,7621,7927,8359,8823,9337,9825,10153,10357,10881,11559,12099,12567,13813,14264,14476,15269,16227,17080,18023,18665,19158,19753,20422,22059,23307,24376,25561,26079,26511,27514,28411,PI
totalCases_per_100k_inhabitants,,,,,,,,,,,,,,,,,0.05248,0.05248,0.05248,0.05248,0.05248,0.10495,0.13119,0.2099,0.3236,0.38482,0.47228000000000003,0.52475,0.61221,0.84835,0.92706,1.09323,1.1981899999999999,1.3293700000000002,1.39934,1.61799,2.0028099999999998,2.25644,2.68498,3.5071,3.89192,4.07558,4.46914,4.810230000000001,5.43119,5.72855,6.01716,6.559410000000001,6.71683,7.022939999999999,7.136639999999999,7.39027,7.7575899999999995,8.39604,8.76337,8.93829,9.086969999999999,9.419310000000001,9.58548,9.90908,10.10149,10.24142,10.5038,11.2472,11.92938,12.44539,12.80397,13.20628,13.407429999999998,13.827229999999998,14.06337,14.40446,14.675579999999998,15.16535,15.82129,16.258589999999998,16.38103,16.87955,17.69291,18.28763,18.95232,19.870639999999998,20.25545,20.90265,22.03087,23.22905,24.969479999999997,26.10645,27.52328,28.51156,29.59605,31.19655,32.95447,35.3421,37.607279999999996,39.6888,41.56042,42.85481,45.78467,48.688309999999994,51.55695,56.27098,58.53617,61.10745,62.2794,64.80696,69.3898,74.94343,77.12116,81.8002,84.8875,86.0507,93.49344,98.17249,105.46655,113.1017,120.87678999999999,126.82399,132.27267,138.64841,148.35634,155.86905,163.30305,173.33456999999999,181.40701,186.51461,200.07947,211.86891,230.05159,246.34516000000002,267.37026000000003,275.1366,286.60244,300.06235,PR
totalCases_per_100k_inhabitants,,,,,,,,,,0.00579,0.01158,0.01158,0.01738,0.01738,0.04634,0.0753,0.09267,0.09267,0.12743,0.13901,0.17955,0.19114,0.3649,0.38228,0.63134,0.68926,1.07733,1.34956,1.76659,2.1430700000000003,2.43847,2.8555,3.23198,3.47525,3.8054,4.1008,4.81901,5.74575,6.2207,7.216939999999999,8.07417,8.46223,9.77704,11.225060000000001,12.83526,14.27169,15.099960000000001,16.5364,18.71422,19.75101,21.67977,22.84398,25.189770000000003,26.313440000000003,27.59928,28.375420000000002,30.7328,32.15765,35.748740000000005,36.385870000000004,39.54835,41.187509999999996,46.01232,49.25588,51.36999,54.75257,58.88233,61.08331999999999,64.51801999999999,67.88902,71.76971,77.00576,81.99274,91.17319,98.05419,98.82454,103.90419,107.07246,108.47415,112.7545,115.76638,125.11481,128.80436,154.44592,161.0489,175.91718,185.86218,194.55031,200.01803999999998,219.58948999999998,227.61732,231.82237,245.57278,259.98348,277.7478,303.62104,309.22778,315.84234,328.59651,343.12306,352.92326,365.28357,373.78056000000004,392.44844,402.54405,422.7005,430.77466,438.89516,450.53146,456.62473,460.88770999999997,468.84603,482.72965999999997,503.697,505.7474,540.85322,553.35833,556.8104099999999,565.14522,584.24172,599.44015,613.36432,628.4237400000001,630.19611,644.6473599999999,648.03573,652.25237,667.69986,676.64863,689.00314,697.5986,702.53345,705.93341,718.71653,RJ
totalCases_per_100k_inhabitants,,,,,,,,,,,,,,,,,0.02852,0.02852,0.02852,0.02852,0.02852,0.02852,0.02852,0.02852,0.17109000000000002,0.25664000000000003,0.3707,0.3707,0.39921999999999996,0.39921999999999996,0.5418,0.7984399999999999,1.9390599999999998,1.9390599999999998,2.1957,2.33828,2.62343,3.02265,5.01874,6.13085,7.0148399999999995,7.0148399999999995,7.242960000000001,7.471089999999999,7.471089999999999,7.4996,8.241010000000001,9.666789999999999,10.721860000000001,11.37772,11.406239999999999,13.202720000000001,14.71405,15.99725,16.96678,17.33748,18.42107,20.18904,21.50076,22.27068,23.525370000000002,23.72498,24.43786,30.967940000000002,33.56286,36.98473,38.9523,39.693709999999996,40.52066,43.79995,46.87964,49.58862,51.9269,54.721430000000005,54.721430000000005,55.0351,57.9722,67.49641,72.34406,79.44445,79.44445,85.66085,89.48194000000001,99.31981999999999,108.2452,115.77332,121.21978999999999,131.14321999999999,131.14321999999999,136.13345,156.03734,160.5428,160.5428,184.29629,211.07242999999997,211.07242999999997,229.57906,234.76889,260.88917999999995,264.68175,268.98761,269.44386000000003,269.44386000000003,310.4778,314.44147000000004,329.8684,377.37538,386.21522000000004,393.20153999999997,404.0945,405.32067,433.77923,447.40969,453.08429,457.36163,547.67052,550.06583,569.08573,572.45057,622.8946599999999,648.3876,678.84226,691.5887299999999,692.9574700000001,849.30848,865.50534,911.47248,939.93104,954.90173,978.71225,987.9227900000001,999.6427,1021.11494,1021.4286099999999,RN
totalCases,,,,,,,,,,,,,,,,,,,,,,,,,1,3,3,3,5,5,6,6,6,6,8,9,9,10,10,11,14,18,23,26,28,32,34,42,42,69,73,92,110,128,160,199,223,223,250,290,328,364,393,413,433,502,585,654,705,756,861,943,1098,1222,1263,1302,1398,1460,1612,1686,1794,1919,1963,2043,2413,2499,2659,2774,3109,3201,3268,3493,3862,4252,4502,4743,4942,5172,5477,5714,6459,6862,7701,8110,8626,9220,9850,10547,11224,11710,11865,12180,13010,13567,13804,14353,14952,15181,15827,16499,17424,18173,19271,19735,19820,20406,21251,21523,21970,22241,22957,23479,23921,24564,RO
totalCases,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,8,8,10,12,16,16,16,16,26,30,37,42,42,42,49,52,63,75,79,83,113,114,142,164,201,222,244,247,280,297,304,345,401,407,425,425,452,519,602,668,740,806,869,932,1020,1124,1202,1290,1295,1411,1411,1500,1589,1706,1791,1882,1988,2067,2146,2306,2439,2439,2564,2682,2959,3098,3299,3475,3692,3850,4143,4143,4831,5238,5529,5768,6056,6347,6594,6712,6842,6875,6881,6935,7150,7421,7650,8037,8120,8188,10340,10803,11872,12911,13078,14341,14459,14641,15153,17583,18323,18769,18922,18948,19088,19284,RR
totalCases_per_100k_inhabitants,,,,,,,,,,,,,,,0.008790000000000001,0.017580000000000002,0.035160000000000004,0.035160000000000004,0.052739999999999995,0.052739999999999995,0.07032000000000001,0.08789,0.167,0.27247,0.37795,0.60647,0.67679,0.8437899999999999,0.9844200000000001,1.4239,1.67,1.73153,1.7579,2.0215799999999997,2.23253,2.68079,2.7774799999999997,3.3927400000000003,3.6036900000000003,3.674,4.11348,4.40353,4.87816,5.10669,5.59011,5.6252699999999995,5.73953,5.8362099999999995,6.02079,6.3284199999999995,6.69758,6.96127,7.304060000000001,7.50621,7.63806,7.945689999999999,8.06874,8.525789999999999,9.13227,9.63327,10.24853,10.61769,11.039589999999999,11.8658,12.481060000000001,13.439110000000001,14.230170000000001,14.643270000000001,14.854220000000002,15.5398,17.74596,18.457910000000002,19.178639999999998,21.91217,22.34285,22.6417,24.68086,25.63891,26.34207,27.25617,32.47712,32.81991,32.8287,32.96055,33.38244,43.71008,48.104820000000004,52.01614,55.69014,56.86793,57.65019,59.63661,61.94825,72.37257,77.72536,81.23236,82.02342,83.46489,87.18284,91.393,96.77216,101.80853,105.79896000000001,106.66032,107.67111000000001,112.52291000000001,119.70391000000001,124.52933,126.42786000000001,128.56371000000001,128.86255,135.69197,144.7715,150.54619,156.64609,163.37004,168.21303999999998,170.05883,173.24063,183.38368,193.44763999999998,202.68538,211.94949,219.73697,221.87281000000002,225.52922999999998,236.79735,247.6084,256.60882999999995,266.94526,277.91452999999996,280.86779,284.7879,297.08437999999995,RS
totalCases_per_100k_inhabitants,,,,,,,,,,,,,,,,,0.02791,0.04187,0.06978999999999999,0.08374,0.0977,0.0977,0.1954,0.2931,0.55829,0.79556,0.94909,1.20031,1.5213299999999998,1.7027700000000001,2.0796099999999997,2.27501,2.56812,2.74956,3.05662,3.2799300000000002,3.4474199999999997,3.92196,4.2011,4.96874,5.28976,5.820130000000001,6.378419999999999,6.99253,9.6723,10.00727,10.21663,10.83075,11.5286,11.90545,12.33812,12.92432,13.426779999999999,13.608220000000001,14.30608,14.83645,15.22725,15.562220000000002,16.32986,16.87419,17.23708,18.66071,20.60075,27.844509999999996,29.10065,33.41341,29.365840000000002,32.74347,35.15805,36.6096,39.01023,40.713,43.01593,44.732659999999996,47.0635,47.85906,49.25477,52.10203,53.42796,60.46236,63.672509999999996,65.29153000000001,66.65933000000001,72.22824,75.55004,76.75035,78.2996,90.13526,92.21486999999999,93.45706,95.95539000000001,97.92334,102.89209,111.65718000000001,119.05446,122.54375,126.13073999999999,132.56498,134.82603999999998,140.04601,147.01063,151.37922,157.5064,161.41441,163.88482,170.16554,175.77631,180.78693,183.74584,185.57423,186.46749,194.84177,201.01083,209.56656,217.35465,227.94813,238.77887,245.39456,250.34935,268.59134,291.99747,306.37334,320.27465,332.29176,340.05192999999997,349.71027999999995,367.82665,380.73702000000003,398.82547999999997,422.35722999999996,445.66565999999995,460.15317999999996,472.05863,493.28745,SC
